, Net Value Growth Rate, Quick Ratio, Accounts Receivable Turnover, Average Collection Days, Revenue per person, Allocation rate per person, Cash/Current Liability, Long-term Liability to Current Assets,Bankrupt?
0,0.0004451612230262,0.0055035203315836,0.0007567995292828,0.0120554870056401,0.0101934403595611,0.0078340692088026,0.0020059017368427,0.0,0.0
1,0.0004711387348357,0.0063744015810612,0.000655351871202,0.0096431941319374,0.0174669153826947,0.0069078015332273,0.001794077779716,0.0079898416105655,0.0
2,0.0004705897384286,0.0142204427520347,0.0010165055339697,0.006221580841698,0.0183599430107369,0.004497133109058,0.0132873007136628,0.0,0.0
3,0.0006225120169074,0.0073631886730539,0.0005843385105454,0.0108062181652058,0.0164593217102654,0.0043304572021659,0.0027592183946993,0.0125190610510067,0.0
4,0.0003983468021283,0.0059826297868836,0.0003368062248283,0.0188047835981163,0.0131192808777522,0.0014223245287472,0.0195396903838581,0.0008797768368884,0.0
5,0.0004649001393003,0.0015365189953174,0.0021446034918283,0.0029494016232809,0.0354155956699909,0.0205250120169006,0.0010164846775161,0.0753891973301214,0.0
6,0.0004514996360902,0.0355489234385586,0.0009860712365455,0.0064077329997395,0.0207041405343478,0.0095118863897611,0.0765844037156991,0.0,0.0
7,0.0004226274159522,0.0052440027099628,0.000375356334899,0.0168288382141348,0.0032019740610725,0.017053418271027,0.0111200977361005,0.0046215792444093,0.0
8,0.0004379494065872,0.0071697981377115,0.0008115812646465,0.0077953350952322,0.0348398278571743,0.0082293464499967,0.0040791607931599,0.0,0.0
9,0.000442665784812,0.0056569850789844,0.0009434632201515,0.0066989159625475,0.0135746074644184,0.0056978430197452,0.0044122057263766,0.0035336096217512,0.0
10,0.0004006426052854,0.0046788032744136,0.0014912805737879,0.0042396580948436,0.0171702187036411,0.0248395857490491,0.0014564392698926,0.0259418498607619,0.0
11,0.0005597767002031,0.0060724628097523,0.0008318707962626,0.0075972282114449,0.11869042198493,0.0017819644906932,0.0007096656323357,0.0045370890857171,0.0
12,0.0004488544715832,0.0075391116761719,0.0011950534121919,0.005289112233527,0.0728023148216148,0.0012730400162413,0.0024364494598934,0.0,0.0
13,0.0004521983587902,0.0012907258633015,0.0038732715855254,0.0092025770973072,0.0086893938281215,0.0056721580413309,0.0062702256361976,0.0006302288519921,0.0
14,0.0004791740458854,0.0092153709292851,0.0016454810140707,0.0038425904182873,0.0522920552854604,0.0142930119215998,0.0085774648636189,0.0,0.0
15,0.0004588861332041,0.0104593087598426,0.000760857435606,0.0088123406926055,0.0047823979554367,0.0020932503445481,0.01562151912485,0.0,0.0
16,0.0005103670235625,0.0092066371631729,0.0041126880585961,0.0027453173766208,0.0137919891896656,0.0050093247529756,0.0255054636596019,1540000000.0,0.0
17,0.0004897547039135,0.0136508764334294,0.0011138952857273,0.0056733712753557,0.0115917336192588,0.0043872054225764,0.0392055154409786,0.0,0.0
18,0.0005078466309662,0.0066844502780456,0.0005315857283434,0.0119077607517815,0.0277661090139976,0.003763779224391,0.0067940175972828,0.0053015600426501,0.0
